time_s,stage,true_lat,true_lon,true_alt_m,est_lat,est_lon,est_alt_m,pos_error_m,alt_error_m,vel_east_ms,vel_north_ms,vel_up_ms,ground_speed_ms,roll_deg,pitch_deg,yaw_deg,flight_path_angle_deg,distance_traveled_m,distance_to_target_m,gps_valid,tercom_active
0.002,BOOST,56.0,95.0,317.0,56.0,95.0,317.0,0.0,-0.0,-0.0,0.001,0.013,0.013,360.0,88.0,360.0,85.22,0.0,100409.02,1,0
0.1,BOOST,56.0,95.0,317.03,56.0,95.0,317.03,0.0,-0.0,-0.001,0.058,0.673,0.676,0.0,87.98,0.0,85.09,0.03,100409.02,1,0
0.2,BOOST,56.0000001,95.0,317.13,56.0000001,95.0,317.13,0.0,-0.0,-0.001,0.118,1.349,1.354,360.0,87.93,0.0,85.02,0.14,100409.01,1,0
0.3,BOOST,56.0000002,95.0,317.3,55.9999713,95.000057,322.31,4.8,5.0,0.006,0.172,2.035,2.042,360.0,87.85,360.0,85.16,0.31,100412.21,1,0
0.4,BOOST,56.0000004,95.0,317.54,55.9999715,95.000057,322.55,4.8,5.0,0.005,0.236,2.711,2.721,0.0,87.73,0.0,85.03,0.55,100412.19,1,0
0.5,BOOST,56.0000062,94.9999953,317.85,55.9999998,95.000033,322.99,2.46,5.14,-3.013,6.581,3.455,8.02,360.0,87.58,360.0,25.52,1.32,100409.04,1,0
0.6,BOOST,56.0000121,94.9999905,318.23,56.0000057,95.0000281,323.37,2.46,5.14,-3.012,6.654,4.134,8.393,0.0,87.4,0.0,29.51,2.14,100408.38,1,0
0.7,BOOST,56.00002,94.9999906,318.68,56.0000212,95.0000485,323.83,3.62,5.15,0.144,8.845,4.83,10.079,0.0,87.18,0.0,28.63,3.13,100406.66,1,0
0.8,BOOST,56.000028,94.9999908,319.2,56.0000292,95.0000487,324.35,3.62,5.15,0.144,8.929,5.51,10.494,360.0,86.93,0.0,31.68,4.16,100405.78,1,0
0.9,BOOST,56.0000341,94.9999891,319.6,56.0000251,95.0000371,323.31,3.16,3.71,-1.091,6.765,4.31,8.095,360.0,86.66,0.0,32.17,4.95,100406.23,1,0
1.0,BOOST,56.0000402,94.9999874,320.06,56.0000312,95.0000354,323.77,3.16,3.71,-1.091,6.866,4.992,8.559,360.0,86.35,0.0,35.68,5.78,100405.55,1,0
1.1,BOOST,56.0000461,94.9999762,320.23,56.0000352,94.9999645,320.98,1.41,0.76,-7.094,6.631,1.896,9.894,0.0,86.02,0.0,11.05,6.76,100405.1,1,1
1.2,BOOST,56.0000521,94.9999648,320.45,56.0000412,94.9999532,321.21,1.41,0.76,-7.094,6.751,2.58,10.127,0.0,85.66,360.0,14.76,7.76,100404.44,1,1
1.3,BOOST,56.0000593,94.9999546,320.76,56.000057,94.999952,321.64,0.31,0.87,-6.336,8.156,3.457,10.891,360.0,85.26,0.0,18.51,8.84,100402.68,1,1
1.4,BOOST,56.0000667,94.9999445,321.14,56.0000644,94.9999419,322.02,0.31,0.87,-6.335,8.299,4.141,11.232,0.0,84.85,360.0,21.64,9.94,100401.86,1,1
1.5,BOOST,56.0000742,94.9999358,321.56,56.0000719,94.9999469,322.24,0.74,0.68,-5.366,8.454,4.539,10.994,0.0,84.4,360.0,24.38,11.02,100401.03,1,1
1.6,BOOST,56.0000819,94.9999272,322.05,56.0000796,94.9999383,322.73,0.74,0.68,-5.365,8.624,5.223,11.421,360.0,83.93,0.0,27.21,12.14,100400.17,1,1
1.7,BOOST,56.0000909,94.9999184,322.65,56.0001,94.9999269,323.74,1.15,1.09,-5.522,10.081,6.397,13.154,0.0,83.43,360.0,29.1,13.43,100397.9,1,1
