time_s,stage,true_lat,true_lon,true_alt_m,ground_alt_m,agl_m,est_lat,est_lon,est_alt_m,pos_error_m,alt_error_m,vel_east_ms,vel_north_ms,vel_up_ms,ground_speed_ms,roll_deg,pitch_deg,yaw_deg,flight_path_angle_deg,distance_traveled_m,distance_to_target_m,gps_valid,tercom_active
0.001,BOOST,56.0,95.0,317.0,317.0,0.0,56.0,95.0,317.0,0.0,0.0,-0.0,0.001,0.007,0.007,0.0,88.0,360.0,84.66,0.0,100409.02,1,0
0.1,BOOST,56.0,95.0,317.03,317.0,0.03,56.0,95.0,317.03,0.0,-0.0,0.0,0.062,0.675,0.677,0.0,87.98,360.0,84.74,0.03,100409.02,1,0
0.2,BOOST,56.0000001,95.0,317.13,317.0,0.13,56.0000001,95.0,317.13,0.0,-0.0,0.002,0.125,1.35,1.356,360.0,87.93,0.0,84.72,0.14,100409.01,1,0
0.3,BOOST,56.0000004,95.0,317.44,317.0,0.44,55.9999885,95.0000354,322.39,2.58,4.95,0.013,0.309,3.402,3.416,0.0,87.85,0.0,84.8,0.44,100410.3,1,0
0.4,BOOST,56.0000007,95.0,317.81,317.0,0.81,55.9999888,95.0000355,322.77,2.58,4.95,0.015,0.377,4.08,4.097,360.0,87.73,360.0,84.72,0.82,100410.27,1,0
0.5,BOOST,55.9999968,95.0000014,318.02,317.0,1.02,55.999964,95.0000434,319.06,4.5,1.04,0.839,-4.271,2.357,4.95,0.0,87.58,0.0,28.44,1.3,100413.03,1,0
0.6,BOOST,55.999993,95.0000027,318.29,317.0,1.29,55.9999601,95.0000448,319.33,4.5,1.04,0.841,-4.196,3.037,5.247,0.0,87.39,0.0,35.37,1.81,100413.45,1,0
0.7,BOOST,55.9999931,94.9999987,318.93,317.0,1.93,55.9999788,95.0000051,322.41,1.64,3.48,-2.567,0.169,6.829,7.297,0.0,87.18,360.0,69.36,2.51,100411.37,1,0
0.8,BOOST,55.9999933,94.9999945,319.65,317.0,2.65,55.999979,95.000001,323.13,1.64,3.48,-2.565,0.258,7.511,7.941,360.0,86.93,0.0,71.06,3.27,100411.35,1,0
0.9,BOOST,55.9999958,94.9999874,320.43,317.0,3.43,56.0000019,94.9999564,324.02,2.05,3.59,-4.479,2.85,8.146,9.723,0.0,86.66,360.0,56.91,4.21,100408.8,1,0
1.0,BOOST,55.9999984,94.9999802,321.28,317.0,4.28,56.0000045,94.9999492,324.87,2.05,3.59,-4.477,2.954,8.83,10.331,360.0,86.35,360.0,58.72,5.21,100408.51,1,0
1.1,BOOST,55.999998,94.9999718,321.91,317.0,4.91,55.9999693,94.9999114,321.91,4.94,-0.0,-5.249,-0.437,6.62,8.46,360.0,86.02,360.0,51.49,6.04,100412.43,1,1
1.2,BOOST,55.9999977,94.9999634,322.61,317.0,5.61,55.999969,94.999903,322.6,4.94,-0.0,-5.248,-0.313,7.304,8.999,360.0,85.65,360.0,54.25,6.91,100412.47,1,1
1.3,BOOST,55.9999994,94.9999597,323.58,317.0,6.58,55.9999967,94.9999523,325.97,0.55,2.4,-2.281,2.055,10.078,10.536,360.0,85.26,0.0,73.06,7.93,100409.39,1,1
1.4,BOOST,56.0000013,94.999956,324.62,317.0,7.62,55.9999986,94.9999487,327.02,0.55,2.4,-2.28,2.202,10.762,11.219,0.0,84.84,360.0,73.59,9.02,100409.17,1,1
1.5,BOOST,56.0000036,94.9999532,325.79,317.0,8.79,56.0000059,94.9999544,329.45,0.27,3.66,-1.707,2.696,12.039,12.455,0.0,84.4,360.0,75.15,10.23,100408.36,1,1
1.6,BOOST,56.0000061,94.9999505,327.03,317.0,10.03,56.0000084,94.9999517,330.68,0.27,3.66,-1.705,2.869,12.723,13.153,360.0,83.92,360.0,75.3,11.51,100408.08,1,1
1.7,BOOST,56.0000087,94.9999464,328.23,317.0,11.23,56.0000084,94.9999131,330.62,2.07,2.39,-2.601,2.947,12.346,12.957,0.0,83.43,0.0,72.34,12.77,100408.08,1,1
1.8,BOOST,56.0000114,94.9999422,329.5,317.0,12.5,56.0000112,94.999909,331.89,2.07,2.39,-2.599,3.151,13.029,13.654,360.0,82.9,0.0,72.59,14.1,100407.78,1,1
1.9,BOOST,56.0000147,94.9999391,330.86,317.0,13.86,56.0000212,94.9999232,333.93,1.23,3.07,-1.891,3.795,14.014,14.641,360.0,82.35,360.0,73.17,15.53,100406.66,1,1
2.0,BOOST,56.0000183,94.9999361,332.3,317.0,15.3,56.0000247,94.9999202,335.37,1.23,3.07,-1.889,4.031,14.696,15.355,0.0,81.78,360.0,73.15,17.03,100406.27,1,1
2.1,BOOST,56.0000224,94.9999339,333.71,317.0,16.71,56.0000355,94.9999341,334.7,1.46,0.98,-1.34,4.697,14.474,15.276,360.0,81.19,0.0,71.35,18.52,100405.07,1,1
